Name,Company domain name,Industry,Number of employees,City,Country/Region,Phone number,Company owner,Create date
Brightline Analytics,brightlineanalytics.com,SaaS,201-500,Austin,United States,+1 470-818-9415,mmitchell@hubspot.com,8/23/2025 10:45
Harborview Logistics,harborviewlogistics.com,Logistics,201-500,Seattle,United States,+1 966-767-6212,aisha.khan@focuscrm.demo,2/25/2026 13:30
Northpeak Outdoor Co.,northpeakoutdoorco.com,Retail,51-200,Denver,United States,+1 762-975-2230,daniel.okafor@focuscrm.demo,1/22/2026 13:30
Cobalt Health Clinics,cobalthealthclinics.com,Healthcare,1001-5000,Boston,United States,+1 831-376-4865,sofia.martinez@focuscrm.demo,8/10/2025 17:00
Meridian Freight Lines,meridianfreightlines.com,Logistics,501-1000,Chicago,United States,+1 720-370-5305,ravi.menon@focuscrm.demo,9/7/2025 16:30
Silverleaf Hotels,silverleafhotels.com,Hospitality,11-50,San Diego,United States,+1 868-710-6466,mmitchell@hubspot.com,8/9/2025 12:00
Quantum Ridge Labs,quantumridgelabs.com,SaaS,11-50,San Jose,United States,+1 748-522-8713,aisha.khan@focuscrm.demo,9/25/2025 15:45
Evergreen Dental Group,evergreendentalgroup.com,Healthcare,11-50,Portland,United States,+1 439-397-6431,daniel.okafor@focuscrm.demo,8/8/2025 14:30
Atlas Manufacturing,atlasmanufacturing.com,Manufacturing,501-1000,Detroit,United States,+1 369-955-8171,sofia.martinez@focuscrm.demo,10/13/2025 16:15
Bluewater Insurance,bluewaterinsurance.com,Finance,51-200,Hartford,United States,+1 983-647-4936,ravi.menon@focuscrm.demo,10/2/2025 15:00
Crescent Media House,crescentmediahouse.com,Media,501-1000,Los Angeles,United States,+1 925-282-3856,mmitchell@hubspot.com,10/23/2025 13:15
Pinecrest Academy,pinecrestacademy.com,Education,1001-5000,Raleigh,United States,+1 560-710-4339,aisha.khan@focuscrm.demo,10/24/2025 14:45
Summit Legal Partners,summitlegalpartners.com,Legal,201-500,New York,United States,+1 210-610-8689,daniel.okafor@focuscrm.demo,9/27/2025 11:15
Ironwood Construction,ironwoodconstruction.com,Real Estate,501-1000,Phoenix,United States,+1 285-798-7562,sofia.martinez@focuscrm.demo,8/7/2025 15:00
Lumen Solar Systems,lumensolarsystems.com,Energy,1001-5000,Sacramento,United States,+1 831-278-3558,ravi.menon@focuscrm.demo,2/20/2026 09:45
Redfern Coffee Roasters,redferncoffeeroasters.com,Hospitality,1001-5000,Seattle,United States,+1 570-908-2398,mmitchell@hubspot.com,9/7/2025 17:45
Tidewater Marine Supply,tidewatermarinesupply.com,Retail,11-50,Charleston,United States,+1 768-485-8201,aisha.khan@focuscrm.demo,1/14/2026 11:45
Vantage Point Realty,vantagepointrealty.com,Real Estate,51-200,Miami,United States,+1 651-808-5160,daniel.okafor@focuscrm.demo,10/31/2025 15:00
Keystone Credit Union,keystonecreditunion.com,Finance,51-200,Pittsburgh,United States,+1 854-697-1922,sofia.martinez@focuscrm.demo,11/2/2025 15:00
Orchard Lane Grocers,orchardlanegrocers.com,Retail,51-200,Columbus,United States,+1 460-373-1801,ravi.menon@focuscrm.demo,3/9/2026 14:30
Nimbus Cloud Services,nimbuscloudservices.com,IT Services,51-200,Dublin,Ireland,+1 510-239-1783,mmitchell@hubspot.com,10/23/2025 13:30
Kestrel Aerospace,kestrelaerospace.com,Manufacturing,201-500,Bristol,United Kingdom,+44 20 2941 8112,aisha.khan@focuscrm.demo,8/18/2025 11:45
Thornbury Architects,thornburyarchitects.com,Professional Services,11-50,London,United Kingdom,+44 20 4143 6646,daniel.okafor@focuscrm.demo,8/6/2025 12:00
Waverly Fashion Group,waverlyfashiongroup.com,Retail,51-200,Manchester,United Kingdom,+44 20 2199 3121,sofia.martinez@focuscrm.demo,2/24/2026 09:30
Granite Peak Software,granitepeaksoftware.com,SaaS,1001-5000,Toronto,Canada,+1 415-899-9534,ravi.menon@focuscrm.demo,9/21/2025 12:45
Maple Street Bakery,maplestreetbakery.com,Hospitality,51-200,Vancouver,Canada,+1 571-923-4148,mmitchell@hubspot.com,10/15/2025 09:15
Aurora Biotech,aurorabiotech.com,Healthcare,51-200,Cambridge,United Kingdom,+44 20 5884 3942,aisha.khan@focuscrm.demo,3/6/2026 10:45
Sterling Wealth Advisors,sterlingwealthadvisors.com,Finance,1001-5000,Edinburgh,United Kingdom,+44 20 1916 6954,daniel.okafor@focuscrm.demo,8/9/2025 11:15
Indigo Learning,indigolearning.com,Education,51-200,Bengaluru,India,+91 94400 77021,sofia.martinez@focuscrm.demo,8/23/2025 12:00
Saffron Hospitality,saffronhospitality.com,Hospitality,11-50,Mumbai,India,+91 99558 42415,ravi.menon@focuscrm.demo,11/14/2025 09:30
Techwave Solutions,techwavesolutions.com,IT Services,1001-5000,Hyderabad,India,+91 76654 30081,mmitchell@hubspot.com,8/30/2025 09:00
Coral Reef Resorts,coralreefresorts.com,Hospitality,1001-5000,Goa,India,+91 90750 59322,aisha.khan@focuscrm.demo,11/29/2025 15:45
Pioneer Agritech,pioneeragritech.com,Manufacturing,501-1000,Pune,India,+91 80534 33556,daniel.okafor@focuscrm.demo,11/5/2025 14:30
Orbit Telecom,orbittelecom.com,IT Services,11-50,Singapore,Singapore,+1 578-466-7116,sofia.martinez@focuscrm.demo,1/7/2026 13:15
Sakura Design Studio,sakuradesignstudio.com,Media,201-500,Osaka,Japan,+1 707-606-1880,ravi.menon@focuscrm.demo,10/22/2025 13:45
Helios Energy Partners,heliosenergypartners.com,Energy,501-1000,Houston,United States,+1 506-426-4690,mmitchell@hubspot.com,11/29/2025 13:15
Windmill Data Co.,windmilldataco.com,SaaS,11-50,Amsterdam,Netherlands,+1 847-829-9430,aisha.khan@focuscrm.demo,10/23/2025 15:15
Bramble & Oak Furniture,brambleandoakfurniture.com,Retail,11-50,Nashville,United States,+1 537-866-9291,daniel.okafor@focuscrm.demo,8/13/2025 10:15
Cascade Veterinary,cascadeveterinary.com,Healthcare,51-200,Boise,United States,+1 275-457-2251,sofia.martinez@focuscrm.demo,8/7/2025 09:45
Lighthouse Nonprofit Network,lighthousenonprofitnetwork.com,Nonprofit,51-200,Baltimore,United States,+1 743-689-5448,ravi.menon@focuscrm.demo,12/11/2025 17:15
